age	mean	sd	5%	95%
1	833.7825	13237.8228	5.5503	13.9245
2	76.4014	1246.3485	0.172	4.0871
3	11290.417	182103.038	51.1405	89.0359
4	2232.1418	39608.9655	13.6779	28.7176
5	4076.5605	70081.2474	29.9317	55.6682
6	12791.3698	233697.2829	69.9381	111.7711
7	9209.5979	157272.0549	74.2022	118.1739
8	6404.1815	105691.2575	51.6906	86.1322
9	7466.2791	133873.1889	40.5712	74.9242
10	4610.8308	78219.8517	31.8155	56.9217
11	3234.1471	58515.5659	15.0905	30.204
12	2676.1707	45788.6088	7.6647	16.439
13	1193.1292	20024.3089	2.412	9.0755
14	167.656	2637.7928	0.0737	2.7635
15+	108.1005	1806.7793	0.7223	2.6394
