# ECA_kolmule_2017
# Mean catch at age estimates as Abundance in millions
"age"	"mean"	"sd"	"cv"
1	43.673689586	43.4537733945724	0.994964561192051
2	425.220647484	154.925482501296	0.36434139174092
3	2067.329414988	421.890757546514	0.204075245332376
4	1112.274501504	235.075493936328	0.211346653742815
5	508.626984274	146.368752659755	0.287772291257173
6	192.921117474	108.243203233857	0.561074933895947
7	92.553920406	37.0851062121665	0.400686497659826
8	10.55743428	13.4922252963597	1.27798335642206
9	16.779425086	13.9361903988907	0.830552317940761
10	31.612376162	27.8150241519422	0.879877678583921
11	21.852412624	21.9347359195941	1.00376724057936
12	1.254786022	1.32809120252463	1.0584204631223
13	0.053005768	0.0589566276007905	1.11226815166211
14	8.66960684	9.62690627655888	1.1104201671686
15	6.45173642	8.14639076526405	1.26266639474153
16	19.640864802	13.4848156220686	0.686569341931189
17	7.54845504	5.93267214928318	0.785945218968036
18	4.487026718	3.370180252357	0.75109431348766
19	8.510941862	9.63939310111303	1.13258829133252
20	1.988688248	2.10330143337645	1.05763255527442
