Catch at age (millions) 
age	mean	sd	5%	95%
1	0.004	0.0019	0.0017	0.008
2	0.0229	0.0069	0.0129	0.0352
3	0.0071	0.0032	0.0029	0.0137
4	0.0045	0.0018	0.0022	0.0078
5	0.0046	0.0018	0.0022	0.0078
6	0.0036	0.0015	0.0016	0.0068
7	0.0017	9e-04	5e-04	0.0031
8	7e-04	6e-04	1e-04	0.0019
9	5e-04	3e-04	1e-04	0.0011
10	1e-04	1e-04	0	2e-04
11	1e-04	0	0	1e-04
12	1e-04	1e-04	0	3e-04
13	0	0	0	1e-04
14	0	0	0	0
15+	0	0	0	1e-04
