age	mean	sd	5%	95%
1	0.0153	0.0156	0.0021	0.0467
2	0.0799	0.0389	0.031	0.1575
3	0.4985	0.1379	0.3105	0.7744
4	5.1989	0.7721	3.9999	6.4816
5	8.8191	1.0563	7.2699	10.6201
6	3.4888	0.566	2.5714	4.4927
7	1.1465	0.2494	0.7748	1.5774
8	1.003	0.2466	0.6505	1.4363
9	0.451	0.1251	0.2701	0.6681
10	0.1831	0.0675	0.1003	0.3056
11	0.3057	0.0985	0.17	0.4814
12	0.1157	0.0596	0.0375	0.235
13+	0.1839	0.0579	0.1025	0.2866
